tx_id,amount,arrival_time,max_delay,priority
T1,5000,0,10,3
T2,1200,1,20,2
T3,8500,2,8,5
T4,300,3,30,1
T5,4200,4,15,4
T6,9100,5,6,5
T7,2000,6,12,3
T8,750,7,25,2
T9,6400,8,10,4
T10,15000,9,5,5
T11,900,10,30,2
T12,2200,11,15,3
T13,4700,12,10,4
T14,13000,13,6,5
T15,300,14,40,1
T16,8200,15,9,4
T17,5100,16,12,3
T18,700,17,20,2
T19,2600,18,14,3
T20,9800,19,7,5
T21,4500,20,15,4
T22,600,21,25,2
T23,7200,22,8,4
T24,200,23,50,1
T25,8900,24,6,5
T26,3100,25,12,3
T27,470,26,30,1
T28,6400,27,9,4
T29,5300,28,11,3
T30,11000,29,6,5
T31,800,30,25,2
T32,4100,31,15,4
T33,2000,32,14,3
T34,7200,33,9,4
T35,560,34,30,2
T36,9100,35,6,5
T37,3000,36,12,3
T38,4800,37,10,4
T39,1000,38,20,2
T40,12500,39,5,5
T41,2600,40,15,3
T42,450,41,35,1
T43,7200,42,8,4
T44,8900,43,7,5
T45,5400,44,11,3
T46,670,45,28,2
T47,3100,46,12,3
T48,8300,47,9,4
T49,1200,48,22,2
T50,15000,49,5,5
T51,2600,50,14,3
T52,7400,51,10,4
T53,380,52,40,1
T54,9200,53,6,5
T55,4100,54,13,3
T56,600,55,30,2
T57,5300,56,11,4
T58,7000,57,9,4
T59,1100,58,20,2
T60,14000,59,5,5
T61,3200,60,12,3
T62,4500,61,15,4
T63,500,62,35,1
T64,8200,63,8,4
T65,9400,64,6,5
T66,3000,65,14,3
T67,700,66,25,2
T68,6100,67,10,4
T69,5200,68,11,3
T70,12500,69,5,5
T71,800,70,30,2
T72,4200,71,15,3
T73,2200,72,14,3
T74,7300,73,9,4
T75,450,74,40,1
T76,9800,75,6,5
T77,3500,76,12,3
T78,4700,77,10,4
T79,900,78,22,2
T80,14500,79,5,5
T81,2600,80,15,3
T82,7200,81,10,4
T83,300,82,50,1
T84,9100,83,6,5
T85,4200,84,13,3
T86,600,85,30,2
T87,5400,86,11,4
T88,7000,87,9,4
T89,1200,88,20,2
T90,15000,89,5,5
T91,3000,90,12,3
T92,4800,91,15,4
T93,500,92,35,1
T94,8400,93,8,4
T95,9200,94,6,5
T96,3300,95,14,3
T97,700,96,25,2
T98,6100,97,10,4
T99,5200,98,11,3
T100,12000,99,5,5
T101,1500,100,18,2
T102,4400,101,14,3
T103,3800,102,16,3
T104,7600,103,9,4
T105,420,104,40,1
T106,9900,105,6,5
T107,3100,106,12,3
T108,5100,107,11,4
T109,800,108,24,2
T110,13800,109,5,5
T111,2500,110,15,3
T112,6800,111,9,4
T113,350,112,50,1
T114,8700,113,6,5
T115,4100,114,13,3
T116,640,115,30,2
T117,5600,116,11,4
T118,7200,117,9,4
T119,1000,118,22,2
T120,14900,119,5,5
